model,make,type,year,condition,wheelDrive,doors,engine
edge,ford,suv,2011,new,fwd,4,3.5lv6
f250,ford,regularcabpickup,1997,used,4x4,2,7.3lv8
focus,ford,sedan,2010,used,fwd,4,2.0li4
freestyle,ford,suv,2006,used,fwd,4,3.0lv6
escape,ford,suv,2006,used,fwd,4,2.3li4
fusion,ford,sedan,2011,new,fwd,4,2.5li4
f150,ford,crewcabpickup,2011,new,4x4,4,6.2lv8
transitconnect,ford,cargovan,2011,new,fwd,4,2.0li4
f150,ford,crewcabpickup,2010,used,4x4,4,5.4lv8
f150,ford,crewcabpickup,2007,used,4x4,4,5.4lv8
focus,ford,sedan,2010,used,fwd,4,2.0li4
edge,ford,suv,2007,used,awd,4,3.5lv6
f150,ford,crewcabpickup,2011,new,4x4,4,5.0lv8
fusion,ford,sedan,2011,new,awd,4,3.0lv6
fusion,ford,sedan,2011,new,fwd,4,3.5lv6
focus,ford,sedan,2007,used,fwd,4,2.0li4
edge,ford,suv,2008,used,awd,4,3.5lv6
f250,ford,regularcabpickup,2011,new,4x4,2,6.2lv8
fiesta,ford,hatchback,2011,new,fwd,4,1.6li4
focus,ford,sedan,2011,new,fwd,4,2.0li4
edge,ford,suv,2011,new,fwd,4,3.5lv6
edge,ford,suv,2011,new,fwd,4,3.5lv6
fusion,ford,sedan,2011,new,fwd,4,2.5li4
f150,ford,crewcabpickup,2010,new,4x4,4,5.4lv8
fiesta,ford,hatchback,2011,new,fwd,4,1.6li4
f150,ford,crewcabpickup,2006,used,4x4,5,5.4lv8
f150,ford,crewcabpickup,2011,new,4x4,4,5.0lv8
f150,ford,extendedcabpickup,2006,used,4x4,4,5.4lv8
edge,ford,suv,2008,used,fwd,4,3.5lv6
focus,ford,sedan,2011,new,fwd,4,2.0li4
ranger,ford,extendedcabpickup,2003,used,4x4,4,4.0lv6
edge,ford,suv,2011,new,fwd,4,3.5lv6
edge,ford,suv,2008,used,awd,4,3.5lv6
edge,ford,suv,2007,used,awd,4,3.5lv6
f150,ford,crewcabpickup,2007,used,4x4,4,5.4lv8
f150,ford,crewcabpickup,2011,new,4x4,4,5.0lv8
f150,ford,crewcabpickup,2011,new,4x4,4,5.0lv8
f150,ford,crewcabpickup,2011,new,4x4,4,5.0lv8
f150,ford,crewcabpickup,2011,new,4x4,4,6.2lv8
fusionhybrid,ford,sedan,2011,new,fwd,4,2.5li4
fusionhybrid,ford,sedan,2011,new,fwd,4,2.5li4
prizm,geo,sedan,1995,used,fwd,3,1.6li4
prizm,geo,sedan,1995,used,fwd,4,1.6li4
prizm*,geo,sedan,1995,used,fwd,4,1.6li4
prizm,geo,sedan,1996,used,fwd,4,1.6li4
prizm,geo,sedan,1997,used,fwd,4,1.6li4
prizm,geo,sedan,1994,used,fwd,4,1.6li4
tracker,geo,suv,1996,used,4x4,2,1.6li4
prizm,geo,sedan,1995,used,fwd,4,1.6li4
prizm,geo,sedan,1995,used,fwd,4,1.6li4
prizm,geo,sedan,1991,used,fwd,4,1.6li4
tracker,geo,suv,1997,used,4x4,2,1.6li4
prizm,geo,hatchback,1990,used,fwd,4,1.6li4
prizm,geo,sedan,1996,used,fwd,4,1.6li4
prizm,geo,sedan,1996,used,fwd,4,1.6li4
tracker,geo,suv,1996,used,4x4,4,1.6li4
tracker,geo,suv,1996,used,4x4,4,1.6li4
prizm,geo,sedan,1997,used,fwd,4,1.6li4
prizm,geo,sedan,1994,used,fwd,4,1.6li4
tracker,geo,suv,1990,used,4x4,2,1.6li4
prizm,geo,sedan,1995,used,fwd,4,1.8li4
prizm,geo,sedan,1994,used,fwd,4,1.8li4
tracker,geo,suv,1989,used,4x4,2,1.6li4
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
sierra1500,gmc,crewcabpickup,2009,used,4x4,4,5.3lv8
yukon,gmc,suv,2005,used,4x4,4,5.3lv8
terrain,gmc,suv,2011,new,fwd,4,2.4li4
terrain,gmc,suv,2011,new,awd,4,3.0lv6
envoy,gmc,suv,2008,used,4x4,4,4.2li6
canyon,gmc,crewcabpickup,2005,used,4x2,4,3.5li5
sierra1500,gmc,crewcabpickup,2011,new,4x2,4,5.3lv8
acadia,gmc,suv,2011,new,awd,4,3.6lv6
envoy,gmc,suv,2008,used,4x2,4,4.2li6
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
acadia,gmc,suv,2010,new,fwd,4,3.6lv6
acadia,gmc,suv,2011,new,awd,4,3.6lv6
acadia,gmc,suv,2009,new,fwd,4,3.6lv6
acadia,gmc,suv,2010,used,awd,4,3.6lv6
sierra1500,gmc,extendedcabpickup,2011,new,4x4,4,5.3lv8
sierra1500,gmc,crewcabpickup,2011,new,4x2,4,5.3lv8
sierra1500,gmc,crewcabpickup,2011,new,awd,4,6.2lv8
sierra1500,gmc,crewcabpickup,2011,new,awd,4,6.2lv8
sierra1500,gmc,crewcabpickup,2011,new,4x2,4,6.2lv8
sierra1500,gmc,extendedcabpickup,2011,new,4x4,4,5.3lv8
sierra1500,gmc,extendedcabpickup,2011,new,4x4,4,5.3lv8
acadia,gmc,suv,2010,used,awd,4,3.6lv6
suburban*,gmc,suv,1994,used,4x4,3,7.4lv8
sierra1500,gmc,extendedcabpickup,2010,new,4x4,4,5.3lv8
yukonxl*,gmc,suv,2011,new,awd,4,6.2lv8
jimmy,gmc,suv,1986,used,4x4,2,5.7lv8
acadia*,gmc,suv,2011,new,fwd,4,3.6lv6
yukon,gmc,suv,2011,new,awd,4,6.2lv8
acadia,gmc,suv,2011,new,awd,4,3.6lv6
sierra1500,gmc,extendedcabpickup,2011,new,4x4,4,4.8lv8
sierra1500*,gmc,extendedcabpickup,2011,new,4x4,4,5.3lv8
terrain,gmc,suv,2011,new,awd,4,2.4li4
envoy,gmc,suv,2008,used,4x4,4,4.2li6
terrain,gmc,suv,2011,new,fwd,4,2.4li4
acadia,gmc,suv,2011,new,awd,4,3.6lv6
yukon,gmc,suv,2011,new,awd,4,6.2lv8
envoy,gmc,suv,2005,used,4x4,4,4.2li6
sierra2500,gmc,regularcabpickup,2011,new,4x4,2,6.0lv8
terrain,gmc,suv,2011,new,awd,4,2.4li4
yukon,gmc,suv,2007,used,awd,4,6.2lv8
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
yukon,gmc,suv,2010,new,4x4,4,5.3lv8
yukonxl,gmc,suv,2007,used,awd,4,6.2lv8
sierra1500,gmc,crewcabpickup,2011,new,4x4,4,5.3lv8
sierra1500,gmc,extendedcabpickup,2011,new,4x2,4,4.3lv6
terrain,gmc,suv,2011,new,awd,4,2.4li4
envoyxl,gmc,suv,2006,used,4x4,4,4.2li6
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
yukonxl,gmc,suv,2006,used,4x4,4,8.1lv8
acadia,gmc,suv,2010,used,awd,5,3.6lv6
sierra1500,gmc,extendedcabpickup,2011,new,4x4,4,5.3lv8
sierra2500,gmc,crewcabpickup,2011,new,4x4,4,6.6lv8
acadia,gmc,suv,2011,new,awd,4,3.6lv6
terrain,gmc,suv,2011,new,fwd,4,3.0lv6
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
terrain,gmc,suv,2011,new,fwd,4,2.4li4
yukonxl,gmc,suv,2007,used,4x4,4,5.3lv8
yukon,gmc,suv,2006,used,awd,4,6.0lv8
acadia,gmc,suv,2011,new,awd,4,3.6lv6
acadia,gmc,suv,2010,new,fwd,4,3.6lv6
sierra1500,gmc,crewcabpickup,2009,used,4x4,4,5.3lv8
yukon,gmc,suv,2011,new,awd,4,6.2lv8
sierra1500,gmc,crewcabpickup,2011,new,4x4,4,5.3lv8
terrain,gmc,suv,2011,new,fwd,4,2.4li4
terrain,gmc,suv,2011,new,awd,4,2.4li4
terrain,gmc,suv,2011,new,fwd,4,2.4li4
envoy,gmc,suv,2004,used,4x4,4,4.2li6
canyon,gmc,extendedcabpickup,2005,used,4x4,4,3.5li5
terrain,gmc,suv,2011,new,fwd,4,2.4li4
sierra1500,gmc,crewcabpickup,2011,new,4x4,4,5.3lv8
sierra1500,gmc,crewcabpickup,2011,new,4x2,4,4.8lv8
terrain,gmc,suv,2011,new,awd,4,2.4li4
envoy,gmc,suv,2008,used,4x4,4,5.3lv8
sierra1500,gmc,crewcabpickup,2011,new,4x4,4,5.3lv8
yukon,gmc,suv,2007,used,awd,4,6.2lv8
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
sierra1500,gmc,extendedcabpickup,2011,new,4x4,4,5.3lv8
yukon,gmc,suv,2011,new,4x4,4,5.3lv8
sierra1500,gmc,crewcabpickup,2011,new,4x4,4,5.3lv8
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
sierra1500,gmc,crewcabpickup,2011,new,4x4,4,5.3lv8
envoy,gmc,suv,2005,used,4x4,4,5.3lv8
sierra1500,gmc,extendedcabpickup,2011,new,4x4,4,5.3lv8
yukonxl,gmc,suv,2011,new,4x4,4,5.3lv8
canyon,gmc,extendedcabpickup,2010,new,4x2,4,2.9li4
sierra1500,gmc,crewcabpickup,2007,used,4x4,4,4.8lv8
sierra1500,gmc,extendedcabpickup,2011,new,4x4,4,5.3lv8
acadia,gmc,suv,2008,used,fwd,4,3.6lv6
sierra1500,gmc,crewcabpickup,2005,used,awd,4,6.0lv8
envoy,gmc,suv,2002,used,4x4,4,4.2li6
envoy,gmc,suv,2004,used,4x4,4,4.2li6
sierra1500,gmc,crewcabpickup,2011,new,4x2,4,4.8lv8
sierra1500,gmc,crewcabpickup,2010,used,4x4,4,5.3lv8
envoy,gmc,suv,2008,used,4x4,4,4.2li6
terrain,gmc,suv,2011,new,awd,4,2.4li4
sierra1500*,gmc,crewcabpickup,2011,new,4x4,4,5.3lv8
yukon,gmc,suv,2011,new,awd,4,6.2lv8
sierra1500,gmc,crewcabpickup,2011,new,4x2,4,5.3lv8
yukon,gmc,suv,2011,new,awd,4,6.2lv8
terrain*,gmc,suv,2011,new,fwd,4,3.0lv6
yukonxl,gmc,suv,2011,new,4x4,4,5.3lv8
terrain,gmc,suv,2010,used,fwd,4,2.4li4
terrain,gmc,suv,2011,new,awd,4,3.0lv6
yukon,gmc,suv,2011,new,4x2,4,5.3lv8
yukonxl,gmc,suv,2006,used,awd,4,6.0lv8
yukonxl,gmc,suv,2011,new,awd,4,6.2lv8
terrain,gmc,suv,2011,new,awd,4,3.0lv6
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
sierra1500,gmc,crewcabpickup,2011,new,4x4,4,6.2lv8
sierra2500,gmc,regularcabpickup,2011,new,4x2,2,6.0lv8
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
sierra1500,gmc,extendedcabpickup,2011,new,4x4,4,5.3lv8
sierra1500,gmc,extendedcabpickup,2011,new,4x2,4,4.8lv8
yukon,gmc,suv,2004,used,4x4,4,5.3lv8
sierra1500,gmc,crewcabpickup,2011,new,4x4,4,6.0lv8
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
yukon,gmc,suv,2011,new,awd,4,6.2lv8
terrain,gmc,suv,2011,new,awd,4,3.0lv6
yukon,gmc,suv,2011,new,4x4,4,5.3lv8
acadia,gmc,suv,2008,used,awd,4,3.6lv6
sierra1500,gmc,extendedcabpickup,2011,new,4x4,4,5.3lv8
sierra1500,gmc,crewcabpickup,2010,new,4x4,4,5.3lv8
sierra1500,gmc,crewcabpickup,2011,new,awd,4,6.2lv8
yukon,gmc,suv,2011,new,awd,4,6.2lv8
sierra1500,gmc,crewcabpickup,2011,new,awd,4,6.2lv8
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
sierra1500,gmc,extendedcabpickup,2011,new,4x4,4,5.3lv8
acadia,gmc,suv,2011,new,awd,4,3.6lv6
sierra1500,gmc,extendedcabpickup,2010,new,4x2,4,4.8lv8
sierra1500,gmc,crewcabpickup,2009,used,4x4,4,5.3lv8
acadia,gmc,suv,2011,new,awd,4,3.6lv6
yukonxl,gmc,suv,2007,used,4x4,4,5.3lv8
sierra1500*,gmc,crewcabpickup,2011,new,4x4,4,5.3lv8
sierra1500,gmc,crewcabpickup,2011,new,4x4,4,4.8lv8
yukonxl,gmc,suv,2011,new,awd,4,6.2lv8
acadia*,gmc,suv,2011,new,fwd,4,3.6lv6
acadia,gmc,suv,2011,new,awd,4,3.6lv6
yukon,gmc,suv,2011,new,awd,4,6.2lv8
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
envoy,gmc,suv,2008,used,4x4,4,4.2li6
terrain,gmc,suv,2011,new,fwd,4,2.4li4
canyon,gmc,crewcabpickup,2006,used,4x2,4,3.5li5
sierra1500,gmc,extendedcabpickup,2011,new,4x4,4,4.8lv8
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
terrain,gmc,suv,2011,new,awd,4,2.4li4
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
sierra1500,gmc,extendedcabpickup,2011,new,4x4,4,4.8lv8
acadia*,gmc,suv,2011,new,awd,4,3.6lv6
sierra1500,gmc,crewcabpickup,2011,new,4x4,4,5.3lv8
acadia,gmc,suv,2011,new,awd,4,3.6lv6
sierra1500,gmc,crewcabpickup,2010,new,4x2,4,4.8lv8
envoy,gmc,suv,2002,used,4x4,4,4.2li6
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
terrain,gmc,suv,2011,new,fwd,4,3.0lv6
yukon,gmc,suv,2011,new,awd,4,6.2lv8
sierra1500,gmc,extendedcabpickup,2011,new,4x4,4,5.3lv8
sierra1500,gmc,regularcabpickup,1994,used,4x4,2,5.7lv8
envoy,gmc,suv,2007,used,4x4,4,4.2li6
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
sierra2500,gmc,regularcabpickup,2007,used,4x4,2,6.0lv8
acadia,gmc,suv,2011,new,awd,4,3.6lv6
terrain,gmc,suv,2011,new,fwd,3,3.0lv6
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
acadia,gmc,suv,2011,new,awd,4,3.6lv6
envoy,gmc,suv,2007,used,4x4,4,4.2li6
acadia,gmc,suv,2009,new,awd,4,3.6lv6
acadia,gmc,suv,2008,used,awd,4,3.6lv6
sierra2500,gmc,regularcabpickup,2011,new,4x2,2,6.0lv8
terrain,gmc,suv,2011,new,fwd,4,2.4li4
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
sierra2500,gmc,regularcabpickup,2011,new,4x4,2,6.0lv8
yukon,gmc,suv,2011,new,4x4,4,5.3lv8
terrain,gmc,suv,2011,new,awd,4,2.4li4
sierra1500,gmc,crewcabpickup,2011,new,4x4,4,5.3lv8
sierra1500,gmc,extendedcabpickup,2011,new,4x4,4,4.8lv8
yukonxl,gmc,suv,2001,used,4x4,4,6.0lv8
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
yukon,gmc,suv,2011,new,awd,4,6.2lv8
terrain,gmc,suv,2011,new,fwd,4,2.4li4
sierra1500,gmc,crewcabpickup,2006,used,4x2,4,4.8lv8
yukon,gmc,suv,2004,used,awd,4,6.0lv8
acadia,gmc,suv,2011,new,awd,4,3.6lv6
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
yukonxl,gmc,suv,2011,new,awd,4,6.2lv8
yukon,gmc,suv,2011,new,awd,4,6.2lv8
yukon,gmc,suv,2011,new,4x2,4,5.3lv8
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
sierra2500,gmc,regularcabpickup,2011,new,4x4,2,6.0lv8
terrain,gmc,suv,2011,new,awd,4,3.0lv6
sierra1500,gmc,crewcabpickup,2011,new,4x4,5,5.3lv8
terrain,gmc,suv,2011,new,fwd,4,2.4li4
sierra2500,gmc,crewcabpickup,2011,new,4x4,4,6.6lv8
sierra1500,gmc,crewcabpickup,2011,new,4x4,4,5.3lv8
sierra2500,gmc,crewcabpickup,2011,new,4x4,4,6.6lv8
acadia,gmc,suv,2011,new,awd,4,3.6lv6
terrain,gmc,suv,2011,new,awd,4,3.0lv6
acadia,gmc,suv,2011,new,awd,4,3.6lv6
sierra1500,gmc,extendedcabpickup,2011,new,4x4,4,5.3lv8
sierra1500,gmc,crewcabpickup,2009,new,4x4,4,5.3lv8
yukon,gmc,suv,2007,used,4x4,4,5.3lv8
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
yukon,gmc,suv,2005,used,awd,4,6.0lv8
yukon,gmc,suv,2007,used,4x4,4,5.3lv8
sierra1500,gmc,extendedcabpickup,2011,new,4x4,4,5.3lv8
acadia,gmc,suv,2011,new,awd,3,3.6lv6
acadia,gmc,suv,2011,new,awd,4,3.6lv6
sierra1500,gmc,crewcabpickup,2011,new,awd,4,6.2lv8
terrain*,gmc,suv,2011,new,awd,4,3.0lv6
yukon,gmc,suv,2011,new,awd,4,6.2lv8
sierra1500,gmc,crewcabpickup,2011,new,4x4,4,4.8lv8
terrain,gmc,suv,2011,new,awd,4,2.4li4
sierra2500,gmc,regularcabpickup,2011,new,4x4,2,6.0lv8
terrain,gmc,suv,2011,new,awd,4,3.0lv6
yukonxl,gmc,suv,2001,used,4x4,4,5.3lv8
sierra1500,gmc,crewcabpickup,2011,new,4x4,4,5.3lv8
yukon,gmc,suv,2011,new,awd,4,6.2lv8
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
sierra1500,gmc,extendedcabpickup,2011,new,4x4,4,5.3lv8
acadia,gmc,suv,2011,new,awd,4,3.6lv6
canyon,gmc,crewcabpickup,2010,new,4x4,4,3.7li5
acadia,gmc,suv,2011,new,awd,4,3.6lv6
sierra1500,gmc,extendedcabpickup,2011,new,4x4,4,5.3lv8
yukonxl,gmc,suv,2011,new,awd,4,6.2lv8
terrain,gmc,suv,2011,new,fwd,4,2.4li4
yukonxl,gmc,suv,2004,used,4x4,4,5.3lv8
sierra1500,gmc,extendedcabpickup,2011,new,4x4,4,5.3lv8
sierra1500,gmc,crewcabpickup,2011,new,4x4,4,5.3lv8
terrain,gmc,suv,2011,new,fwd,4,2.4li4
sierra1500,gmc,crewcabpickup,2011,new,4x4,4,5.3lv8
sierra1500,gmc,extendedcabpickup,2011,new,4x2,4,4.8lv8
acadia,gmc,suv,2011,new,awd,4,3.6lv6
sierra1500,gmc,crewcabpickup,2011,new,4x4,4,4.8lv8
sierra1500,gmc,crewcabpickup,2008,used,4x4,4,5.3lv8
yukon,gmc,suv,2011,new,awd,4,6.2lv8
sierra1500,gmc,crewcabpickup,2011,new,4x4,4,5.3lv8
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
terrain,gmc,suv,2011,new,fwd,4,2.4li4
yukonxl,gmc,suv,2011,new,awd,4,6.2lv8
yukonxl*,gmc,suv,2008,used,4x4,4,5.3lv8
sierra1500,gmc,crewcabpickup,2006,used,4x4,4,5.3lv8
yukon,gmc,suv,2011,new,awd,4,6.2lv8
yukonxl,gmc,suv,2001,used,4x4,4,5.3lv8
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
terrain,gmc,suv,2011,new,awd,4,3.0lv6
yukon,gmc,suv,2010,new,awd,4,6.2lv8
terrain,gmc,suv,2011,new,awd,4,2.4li4
terrain,gmc,suv,2011,new,awd,4,2.4li4
yukon,gmc,suv,2011,new,4x2,4,5.3lv8
sierra1500,gmc,crewcabpickup,2009,used,4x4,4,5.3lv8
acadia,gmc,suv,2011,new,awd,4,3.6lv6
canyon,gmc,crewcabpickup,2011,new,4x4,4,5.3lv8
acadia,gmc,suv,2011,new,awd,4,3.6lv6
sierra1500,gmc,crewcabpickup,2011,new,4x4,4,5.3lv8
acadia,gmc,suv,2011,new,awd,4,3.6lv6
yukon,gmc,suv,2004,used,4x4,4,5.3lv8
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
sierra2500,gmc,regularcabpickup,2011,new,4x4,2,6.0lv8
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
terrain,gmc,suv,2011,new,awd,4,3.0lv6
yukon,gmc,suv,1998,used,4x4,4,5.7lv8
acadia,gmc,suv,2011,new,awd,5,3.6lv6
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
sierra1500,gmc,extendedcabpickup,2011,new,4x4,4,5.3lv8
terrain,gmc,suv,2011,new,awd,4,2.4li4
acadia,gmc,suv,2009,used,fwd,4,3.6lv6
yukonxl,gmc,suv,2011,new,awd,4,6.2lv8
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
yukon,gmc,suv,2010,used,4x4,4,5.3lv8
acadia,gmc,suv,2011,new,awd,4,3.6lv6
sierra1500,gmc,extendedcabpickup,2011,new,4x4,4,5.3lv8
terrain,gmc,suv,2011,new,awd,4,3.0lv6
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
sierra1500,gmc,extendedcabpickup,2011,new,4x4,4,5.3lv8
terrain,gmc,suv,2011,new,fwd,4,2.4li4
acadia,gmc,suv,2007,used,fwd,4,3.6lv6
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
sierra1500,gmc,crewcabpickup,2010,used,awd,4,6.2lv8
acadia,gmc,suv,2010,used,awd,4,3.6lv6
sierra1500,gmc,extendedcabpickup,2011,new,4x4,4,5.3lv8
yukon,gmc,suv,2008,used,awd,4,6.2lv8
sierra1500,gmc,regularcabpickup,1994,used,4x4,2,5.7lv8
terrain,gmc,suv,2011,new,awd,4,2.4li4
terrain,gmc,suv,2011,new,awd,4,3.0lv6
sierra1500,gmc,extendedcabpickup,2011,new,4x4,4,5.3lv8
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
yukon,gmc,suv,2011,new,awd,4,6.2lv8
yukon*,gmc,suv,2010,used,awd,4,6.2lv8
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
sierra1500,gmc,extendedcabpickup,2011,new,4x2,4,4.8lv8
acadia,gmc,suv,2009,used,awd,4,3.6lv6
terrain,gmc,suv,2011,new,fwd,4,2.4li4
yukon,gmc,suv,1999,used,4x4,4,5.7lv8
sierra1500,gmc,crewcabpickup,2011,new,4x4,4,5.3lv8
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
yukon,gmc,suv,2011,new,4x4,4,5.3lv8
sierra1500,gmc,crewcabpickup,2011,new,4x4,4,5.3lv8
terrain,gmc,suv,2011,new,awd,4,2.4li4
yukonxl,gmc,suv,2011,new,4x4,4,5.3lv8
yukon,gmc,suv,2011,new,awd,4,6.2lv8
sierra1500,gmc,crewcabpickup,2011,new,awd,4,6.2lv8
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
sierra1500,gmc,crewcabpickup,2011,new,4x4,4,5.3lv8
acadia,gmc,suv,2010,new,awd,4,3.6lv6
sierra1500,gmc,crewcabpickup,2006,used,4x4,4,5.3lv8
sierra1500,gmc,crewcabpickup,2009,used,4x4,4,5.3lv8
sierra1500,gmc,crewcabpickup,2011,new,4x2,4,6.2lv8
acadia,gmc,suv,2011,new,awd,4,3.6lv6
sierra1500,gmc,crewcabpickup,2011,new,4x4,2,5.3lv8
sierra2500,gmc,crewcabpickup,2011,new,4x4,4,6.6lv8
sierra1500,gmc,crewcabpickup,2011,new,4x4,4,5.3lv8
sierra1500,gmc,crewcabpickup,2008,used,4x4,4,5.3lv8
acadia,gmc,suv,2009,new,fwd,4,3.6lv6
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
acadia,gmc,suv,2011,new,fwd,4,3.6lv6
yukonxl,gmc,suv,2010,used,4x4,2,5.3lv8
sierra1500,gmc,crewcabpickup,2011,new,4x4,4,5.3lv8
acadia,gmc,suv,2011,new,awd,4,3.6lv6
yukonxl,gmc,suv,2007,used,4x4,4,5.3lv8
element,honda,suv,2008,used,4x4,4,2.4li4
pilot,honda,suv,2011,new,4x4,4,3.5lv6
accord,honda,coupe,2010,new,fwd,2,3.5lv6
pilot,honda,suv,2011,new,fwd,4,3.5lv6
odyssey,honda,minivan,2007,used,fwd,4,3.5lv6
fit,honda,hatchback,2010,new,fwd,4,1.5li4
civic,honda,sedan,2005,used,fwd,4,1.7li4
pilot,honda,suv,2007,used,fwd,4,3.5lv6
civic,honda,sedan,2007,used,fwd,4,1.8li4
pilot,honda,suv,2006,used,4x4,4,3.5lv6
insight,honda,hatchback,2011,new,fwd,4,1.3li4
cr-v,honda,suv,2011,new,4x4,4,2.4li4
civichybrid,honda,sedan,2009,used,fwd,4,1.3li4
odyssey,honda,minivan,2011,new,fwd,4,3.5lv6
insight,honda,hatchback,2011,new,fwd,4,1.3li4
cr-v,honda,suv,2011,new,fwd,4,2.4li4
accord,honda,sedan,2009,used,fwd,4,2.4li4
pilot,honda,suv,2011,new,4x4,4,3.5lv6
cr-v,honda,suv,1999,used,4x4,4,2.0li4
civic,honda,sedan,2008,used,fwd,4,1.8li4
odyssey,honda,minivan,2011,new,fwd,4,3.5lv6
accord,honda,sedan,2011,new,fwd,4,2.4li4
civic,honda,coupe,2011,new,fwd,2,1.8li4
civic,honda,sedan,2009,used,fwd,4,1.8li4
accord,honda,sedan,2011,new,fwd,4,2.4li4
civic,honda,coupe,2011,new,fwd,2,1.8li4
cr-v,honda,suv,2010,new,fwd,4,2.4li4
odyssey,honda,minivan,2011,new,fwd,4,3.5lv6
accord,honda,coupe,2011,new,fwd,2,2.4li4
civic,honda,sedan,2011,new,fwd,4,1.8li4
accord,honda,sedan,2011,new,fwd,4,3.5lv6
accord,honda,sedan,2010,new,fwd,4,2.4li4
accord,honda,sedan,2011,new,fwd,4,3.5lv6
civic,honda,sedan,2011,new,fwd,3,1.8li4
accordcrosstour,honda,wagon,2011,new,fwd,4,3.5lv6
civic,honda,sedan,1998,used,fwd,4,1.6li4
accord,honda,sedan,2011,new,fwd,4,2.4li4
accord,honda,sedan,2011,new,fwd,4,2.4li4
civic,honda,sedan,2011,new,fwd,4,1.8li4
accordcrosstour,honda,wagon,2010,new,fwd,4,3.5lv6
fit,honda,hatchback,2011,new,fwd,4,1.5li4
accord,honda,sedan,2011,new,fwd,4,2.4li4
accord,honda,sedan,2011,new,fwd,4,2.4li4
pilot,honda,suv,2008,used,4x4,4,3.5lv6
pilot,honda,suv,2008,used,4x4,4,3.5lv6
pilot,honda,suv,2008,used,fwd,4,3.5lv6
accord,honda,coupe,2008,used,fwd,2,2.4li4
cr-v,honda,suv,2011,new,4x4,4,2.4li4
cr-z,honda,coupe,2011,new,fwd,2,1.5li4
insight,honda,hatchback,2010,new,fwd,4,1.3li4
civic,honda,sedan,2011,new,fwd,4,2.0li4
accord,honda,sedan,2011,new,fwd,4,2.4li4
odyssey,honda,minivan,2006,used,fwd,4,3.5lv6
accord,honda,sedan,2009,used,fwd,4,3.5lv6
cr-v,honda,suv,2011,new,4x4,4,2.4li4
accord*,honda,coupe,2011,new,fwd,2,2.4li4
fit,honda,hatchback,2009,used,fwd,4,1.5li4
accord,honda,sedan,2003,used,fwd,4,2.4li4
civichybrid,honda,sedan,2006,used,fwd,4,1.3li4
fit,honda,hatchback,2011,new,fwd,4,1.5li4
civic,honda,coupe,2007,used,fwd,2,1.8li4
cr-v,honda,suv,2011,new,fwd,4,2.4li4
civic,honda,sedan,2011,new,fwd,4,1.8li4
civic,honda,sedan,2011,new,fwd,4,1.8li4
cr-v,honda,suv,2011,new,fwd,4,2.4li4
civic,honda,coupe,2011,new,fwd,2,1.8li4
civic,honda,sedan,2011,new,fwd,4,1.8li4
accord,honda,coupe,2008,used,fwd,2,3.5lv6
cr-v,honda,suv,2011,new,4x4,4,2.4li4
odyssey,honda,minivan,2011,new,fwd,4,3.5lv6
civic,honda,sedan,2011,new,fwd,4,1.8li4
cr-v,honda,suv,2011,new,4x4,4,2.4li4
cr-v,honda,suv,2011,new,4x4,4,2.4li4
