Asteroids	platforms	Arcade, [[#Ports
Vega Strike	platforms	FreeBSD
Vega Strike	platforms	Linux
Vega Strike	platforms	Microsoft Windows
Vega Strike	platforms	OS X
Vega Strike	platforms	IRIX
Crossbow	platforms	Arcade game
Crossbow	platforms	IPhone
Crossbow	platforms	Atari 2600
Crossbow	platforms	Atari 7800
Crossbow	platforms	Atari 8-bit family
Crossbow	platforms	Commodore 64
Crime Cities	platforms	Microsoft Windows
Berrylands railway station	platforms	2
Stratford International station	platforms	6
20XX	platforms	Microsoft Windows
The Bugs Bunny Crazy Castle	platforms	Nintendo Entertainment System
The Bugs Bunny Crazy Castle	platforms	Family Computer Disk System
The Bugs Bunny Crazy Castle	platforms	Game Boy
Herdy Gerdy	platforms	PlayStation 2
Dog's Life	platforms	PlayStation 2
Jak II	platforms	PlayStation 2
PlayChoice-10	platforms	Arcade game
Lode Runner: The Legend Returns	platforms	MS-DOS
Lode Runner: The Legend Returns	platforms	Mac OS
Lode Runner: The Legend Returns	platforms	PlayStation
Lode Runner: The Legend Returns	platforms	Sega Saturn
Lode Runner: The Legend Returns	platforms	Microsoft Windows
Duke Nukem	platforms	MS-DOS
Duke Nukem	platforms	Microsoft Windows
Duke Nukem	platforms	OS X
Duke Nukem: Manhattan Project	platforms	Microsoft Windows
Duke Nukem: Manhattan Project	platforms	Xbox 360
Duke Nukem: Manhattan Project	platforms	Steam
Duke Nukem: Manhattan Project	platforms	IOS
Brain Dead 13	platforms	MS-DOS
Brain Dead 13	platforms	Microsoft Windows
Brain Dead 13	platforms	Apple Macintosh
Brain Dead 13	platforms	CD-i
Brain Dead 13	platforms	3DO Interactive Multiplayer
Brain Dead 13	platforms	Jaguar CD
Brain Dead 13	platforms	Sega Saturn
Brain Dead 13	platforms	PlayStation
Brain Dead 13	platforms	IOS
Gallions Reach DLR station	platforms	2
Cyprus DLR station	platforms	2
Beckton Park DLR station	platforms	2
West Green railway station	platforms	2
Elmers End station	platforms	3
West Croydon station	platforms	3
Bomberman 64	platforms	Nintendo 64
Castlevania: Curse of Darkness	platforms	PlayStation 2
Castlevania: Curse of Darkness	platforms	Xbox
Devil May Cry 3: Dante's Awakening	platforms	PlayStation 2
Devil May Cry 3: Dante's Awakening	platforms	Microsoft Windows
Devil May Cry 3: Dante's Awakening	platforms	PlayStation 3
Devil May Cry 3: Dante's Awakening	platforms	Xbox 360
Rally-X	platforms	Arcade game
Rally-X	platforms	Rally-X
Jak 3	platforms	PlayStation 2
Mother 3	platforms	Game Boy Advance
Mighty Bomb Jack	platforms	Amiga
Mighty Bomb Jack	platforms	Amstrad CPC
Mighty Bomb Jack	platforms	Atari ST
Mighty Bomb Jack	platforms	Game Boy
Mighty Bomb Jack	platforms	Commodore 64
Mighty Bomb Jack	platforms	Nintendo Entertainment System
Zone of the Enders: The 2nd Runner	platforms	PlayStation 2
Zone of the Enders: The 2nd Runner	platforms	PlayStation 3
Zone of the Enders: The 2nd Runner	platforms	Xbox 360
25 to Life	platforms	PlayStation 2
25 to Life	platforms	Xbox
25 to Life	platforms	Microsoft Windows
Stunt Race FX	platforms	Super NES
Dune 2000	platforms	Microsoft Windows
Dune 2000	platforms	PlayStation
Frontier: Elite II	platforms	Amiga
Frontier: Elite II	platforms	Amiga CD32
Frontier: Elite II	platforms	Atari ST
Frontier: Elite II	platforms	DOS
Arthur: The Quest for Excalibur	platforms	Amiga
Arthur: The Quest for Excalibur	platforms	Apple II family
Arthur: The Quest for Excalibur	platforms	MS-DOS
Arthur: The Quest for Excalibur	platforms	Apple Macintosh
DONKEY.BAS	platforms	MS-DOS
James Bond 007: From Russia with Love	platforms	PlayStation 2
James Bond 007: From Russia with Love	platforms	Xbox
James Bond 007: From Russia with Love	platforms	GameCube
James Bond 007: From Russia with Love	platforms	PlayStation Portable
Rush 2: Extreme Racing USA	platforms	Nintendo 64
San Francisco Rush 2049	platforms	Arcade game
San Francisco Rush 2049	platforms	Nintendo 64
San Francisco Rush 2049	platforms	Game Boy Color
San Francisco Rush 2049	platforms	Dreamcast
Achtung, die Kurve!	platforms	DOS
Hastings railway station	platforms	4
Metropolis Street Racer	platforms	Dreamcast
Dance Dance Revolution 2ndMix	platforms	Arcade game
Dance Dance Revolution 2ndMix	platforms	PlayStation
Dance Dance Revolution 2ndMix	platforms	Dreamcast
The Colour of Magic	platforms	ZX Spectrum
The Colour of Magic	platforms	Amstrad CPC
The Colour of Magic	platforms	Commodore 64
Kangaroo	platforms	Arcade game
Kangaroo	platforms	Atari 8-bit family
Kangaroo	platforms	Atari 2600
Kangaroo	platforms	Atari 5200
Harley's Humongous Adventure	platforms	Super Nintendo Entertainment System
Dance Dance Revolution	platforms	Arcade game
Dance Dance Revolution	platforms	PlayStation
Dance Dance Revolution	platforms	PlayStation
Dance Dance Revolution	platforms	Dreamcast
Stormlord	platforms	Amiga
Stormlord	platforms	Amstrad CPC
Stormlord	platforms	Atari ST
Stormlord	platforms	Commodore 64
Stormlord	platforms	DOS
Stormlord	platforms	Sega Mega Drive
Stormlord	platforms	Symbian OS
Stormlord	platforms	ZX Spectrum
Phalanx	platforms	Sharp X68000
Phalanx	platforms	Super Nintendo Entertainment System
Phalanx	platforms	Game Boy Advance
Animaniacs	platforms	Sega Genesis
Animaniacs	platforms	Super NES
Animaniacs	platforms	Game Boy
The Unholy War	platforms	PlayStation
Cosmic Osmo and the Worlds Beyond the Mackerel	platforms	Macintosh
Cosmic Osmo and the Worlds Beyond the Mackerel	platforms	Microsoft Windows
Cheam railway station	platforms	2
Battletoads	platforms	Game Boy
Breath of Fire III	platforms	PlayStation
Breath of Fire III	platforms	PlayStation Portable
SaGa Frontier 2	platforms	PlayStation
Sid Meier's Gettysburg!	platforms	Microsoft Windows
Dragonstomper	platforms	Atari 2600
Wordtris	platforms	DOS
Wordtris	platforms	Game Boy
Wordtris	platforms	Mac OS
Wordtris	platforms	Super NES
Battle City	platforms	Family Computer, Game Boy, Arcade , Sharp X1, Virtual Console
Legacy of Kain: Soul Reaver	platforms	PlayStation
Legacy of Kain: Soul Reaver	platforms	Microsoft Windows
Legacy of Kain: Soul Reaver	platforms	Dreamcast
Traffic Giant	platforms	PC
I-Ninja	platforms	PlayStation 2
I-Ninja	platforms	GameCube
I-Ninja	platforms	Xbox
I-Ninja	platforms	Microsoft Windows
Gran Turismo 4	platforms	PlayStation 2
Spelunker	platforms	Atari 8-bit family
Spelunker	platforms	Arcade game
Spelunker	platforms	Commodore 64
Spelunker	platforms	MSX
Spelunker	platforms	Nintendo Entertainment System
Spelunker	platforms	Virtual Console
Star Wars MUSH	platforms	Cross-platform
The Lord of the Rings Online	platforms	Microsoft Windows
The Lord of the Rings Online	platforms	OS X
Steel Empire	platforms	Sega Genesis
Steel Empire	platforms	Game Boy Advance
Steel Empire	platforms	Nintendo 3DS
Castlevania	platforms	Nintendo 64
Castlevania: Legacy of Darkness	platforms	Nintendo 64
Castlevania Legends	platforms	Game Boy
Castlevania: The Adventure	platforms	Game Boy
Castlevania: The Adventure	platforms	Virtual Console
Trollie Wallie	platforms	Commodore 64
Trollie Wallie	platforms	Amstrad CPC
Falconwood railway station	platforms	2
Ultima Online: Third Dawn	platforms	Microsoft Windows
Ultima Online: Lord Blackthorn's Revenge	platforms	Microsoft Windows
Super Castlevania IV	platforms	Super Nintendo Entertainment System
Tribes Aerial Assault	platforms	PlayStation 2
Castlevania II: Belmont's Revenge	platforms	Game Boy
Haunted Castle	platforms	Arcade game
Haunted Castle	platforms	PlayStation 2
Liverpool James Street railway station	platforms	3
Liverpool St James railway station	platforms	2
Castlevania: Bloodlines	platforms	Sega Genesis
Conan: Hall of Volta	platforms	PC-88
Conan: Hall of Volta	platforms	Apple II series
Conan: Hall of Volta	platforms	Atari 8-bit family
Conan: Hall of Volta	platforms	Commodore 64
Citadel	platforms	BBC Micro
Citadel	platforms	Acorn Electron
Chuckie Egg	platforms	BBC Micro
Chuckie Egg	platforms	ZX Spectrum
Chuckie Egg	platforms	64
Chuckie Egg	platforms	Acorn Electron
Chuckie Egg	platforms	Commodore 64
Chuckie Egg	platforms	MSX
Chuckie Egg	platforms	Tatung Einstein
Chuckie Egg	platforms	Amstrad CPC
Chuckie Egg	platforms	Atari 8-bit family
Chuckie Egg	platforms	Commodore Amiga
Chuckie Egg	platforms	Atari ST
Chuckie Egg	platforms	IBM PC compatible
Chuckie Egg	platforms	Mobile Phone
Uridium	platforms	Atari ST
Uridium	platforms	Commodore 64
Uridium	platforms	ZX Spectrum
Uridium	platforms	Amstrad CPC
Uridium	platforms	BBC Micro
Uridium	platforms	Virtual Console
Uridium	platforms	MS-DOS
Castlevania Chronicles	platforms	X68000
Castlevania Chronicles	platforms	PlayStation
Castlevania Chronicles	platforms	PlayStation Network
Warzone 2100	platforms	Microsoft Windows
Warzone 2100	platforms	OS X
Warzone 2100	platforms	PlayStation
Warzone 2100	platforms	FreeBSD
Warzone 2100	platforms	AmigaOS 4
Warzone 2100	platforms	AROS Research Operating System
Warzone 2100	platforms	MorphOS
Warzone 2100	platforms	Linux
Roadwar 2000	platforms	Apple II family
Roadwar 2000	platforms	Commodore 64
Roadwar 2000	platforms	MS-DOS
Roadwar 2000	platforms	Amiga
Roadwar 2000	platforms	Apple IIgs
Roadwar 2000	platforms	Atari ST
Another Code: Two Memories	platforms	Nintendo DS
Virtua Cop: Elite Edition	platforms	PlayStation 2
Virtua Cop 2	platforms	Arcade game
Virtua Cop 2	platforms	Sega Saturn
Virtua Cop 2	platforms	Microsoft Windows
Virtua Cop 2	platforms	Dreamcast
Bomberman Hero	platforms	Nintendo 64
Bomberman Hero	platforms	Virtual Console
Odyssey: The Compleat Apventure	platforms	Apple II
Turrican	platforms	Commodore International
Turrican	platforms	Amiga
Turrican	platforms	Atari ST
Turrican	platforms	Amstrad CPC
Turrican	platforms	ZX Spectrum
Turrican	platforms	Mega Drive
Turrican	platforms	PC-Engine
Turrican	platforms	Game Boy
Age of Empires III	platforms	Microsoft Windows
Age of Empires III	platforms	OS X
Age of Empires III	platforms	Windows Mobile
Age of Empires III	platforms	N-Gage
Lunar: The Silver Star	platforms	Sega CD
Moorfields railway station	platforms	3
Amazing Island	platforms	GameCube
Virtua Tennis 2	platforms	Arcade game
Virtua Tennis 2	platforms	Dreamcast
Virtua Tennis 2	platforms	PlayStation 2
Obliterator	platforms	Amiga
Obliterator	platforms	Amstrad CPC
Obliterator	platforms	Atari ST
Obliterator	platforms	DOS
Obliterator	platforms	ZX Spectrum
SaGa Frontier	platforms	PlayStation
SaGa Frontier	platforms	PlayStation Network
Star Wars: Empire at War	platforms	Microsoft Windows
Star Wars: Empire at War	platforms	Mac OS X
Yoshi Touch & Go	platforms	Nintendo DS, Virtual Console
Guiseley railway station	platforms	2
Ping Pals	platforms	Nintendo DS
Suikoden II	platforms	PlayStation
Suikoden II	platforms	PlayStation Portable
Slouching Towards Bedlam	platforms	Z-machine
Rayman	platforms	Android
Rayman	platforms	Atari Jaguar
Rayman	platforms	DSiWare
Rayman	platforms	Game Boy Advance
Rayman	platforms	Game Boy Color
Rayman	platforms	IOS
Rayman	platforms	MS-DOS
Rayman	platforms	PlayStation
Rayman	platforms	Sega Saturn
Rayman M	platforms	PlayStation 2
Rayman M	platforms	Microsoft Windows
Rayman M	platforms	Nintendo GameCube
Rayman M	platforms	Xbox
Rayman M	platforms	PlayStation
Rayman 3: Hoodlum Havoc	platforms	OS X
Rayman 3: Hoodlum Havoc	platforms	GameCube
Rayman 3: Hoodlum Havoc	platforms	Game Boy Advance
Rayman 3: Hoodlum Havoc	platforms	PlayStation 2
Rayman 3: Hoodlum Havoc	platforms	Xbox
Rayman 3: Hoodlum Havoc	platforms	Microsoft Windows
Rayman 3: Hoodlum Havoc	platforms	N-Gage
Rayman 3: Hoodlum Havoc	platforms	PlayStation 3
Rayman 3: Hoodlum Havoc	platforms	Xbox 360
Onimusha 3: Demon Siege	platforms	PlayStation 2
Onimusha 3: Demon Siege	platforms	Microsoft Windows
Monster Bash	platforms	DOS
Blockland	platforms	Microsoft Windows
Blockland	platforms	Mac OS X
Heroes of Might and Magic III	platforms	Windows, Macintosh, Linux , iOS, Android
HardBall!	platforms	Amiga
HardBall!	platforms	Amstrad CPC
HardBall!	platforms	Apple II
HardBall!	platforms	Apple IIGS
HardBall!	platforms	Atari 8-bit family
HardBall!	platforms	Atari ST
HardBall!	platforms	Commodore 64
HardBall!	platforms	DOS
HardBall!	platforms	Macintosh
HardBall!	platforms	MSX
HardBall!	platforms	Sega Genesis
HardBall!	platforms	ZX Spectrum
Star Wars: Bounty Hunter	platforms	GameCube
Star Wars: Bounty Hunter	platforms	PlayStation 2
Star Wars: Bounty Hunter	platforms	PlayStation 3
Star Wars: Bounty Hunter	platforms	PlayStation 4
Dance Dance Revolution	platforms	PlayStation
Twinkle Star Sprites	platforms	Arcade game
Twinkle Star Sprites	platforms	Neo Geo AES
Twinkle Star Sprites	platforms	Neo Geo CD
Twinkle Star Sprites	platforms	Sega Saturn
Twinkle Star Sprites	platforms	Dreamcast
Twinkle Star Sprites	platforms	PlayStation 2
Twinkle Star Sprites	platforms	Virtual Console
Twinkle Star Sprites	platforms	PlayStation Network
Twinkle Star Sprites	platforms	Microsoft Windows
King Arthur's World	platforms	Super Nintendo Entertainment System
Snake Rattle 'n' Roll	platforms	Nintendo Entertainment System
Snake Rattle 'n' Roll	platforms	Sega Genesis
Snake Rattle 'n' Roll	platforms	Xbox One
Rickmansworth station	platforms	2
Moor Park tube station	platforms	4
Breath of Fire IV	platforms	PlayStation
Breath of Fire IV	platforms	Microsoft Windows
Breath of Fire	platforms	Super Nintendo Entertainment System
Breath of Fire	platforms	Game Boy Advance
Lemmings 2: The Tribes	platforms	Commodore Amiga
Lemmings 2: The Tribes	platforms	DOS
Lemmings 2: The Tribes	platforms	Mega Drive
Lemmings 2: The Tribes	platforms	Super NES
Lemmings 2: The Tribes	platforms	Game Boy
Lemmings 2: The Tribes	platforms	Acorn Archimedes
Lemmings 2: The Tribes	platforms	Atari ST
Lemmings 2: The Tribes	platforms	FM Towns
Lemmings 2: The Tribes	platforms	Master System
Lemmings 2: The Tribes	platforms	Game Gear
BioShock	platforms	Microsoft Windows
BioShock	platforms	Xbox 360
BioShock	platforms	Xbox One
BioShock	platforms	PlayStation 3
BioShock	platforms	PlayStation 4
BioShock	platforms	OS X
BioShock	platforms	IOS
Fade	platforms	Windows Mobile , iPhone OS
Reading railway station	platforms	15
Lumines	platforms	PlayStation Portable
Lumines	platforms	Mobile phone
Lumines	platforms	Microsoft Windows
Lumines	platforms	PlayStation 2
Lumines	platforms	Xbox Live Arcade
Lumines	platforms	PlayStation Network
Lumines	platforms	Personal Computer
Lumines	platforms	IOS
WWE Day of Reckoning	platforms	Nintendo GameCube
Star Wars Rogue Squadron III: Rebel Strike	platforms	GameCube
Star Wars Rogue Squadron II: Rogue Leader	platforms	GameCube
ChoroQ	platforms	PlayStation 2
Street Racer	platforms	Super Nintendo Entertainment System
Street Racer	platforms	Sega Genesis
Street Racer	platforms	Game Boy
Street Racer	platforms	Sega Saturn
Street Racer	platforms	PlayStation
Street Racer	platforms	Amiga
Street Racer	platforms	Amiga CD32
Street Racer	platforms	Personal computer
Harry Potter and the Chamber of Secrets	platforms	*
Harry Potter and the Chamber of Secrets	platforms	Game Boy Advance
Harry Potter and the Chamber of Secrets	platforms	Game Boy Color
Harry Potter and the Chamber of Secrets	platforms	GameCube
Harry Potter and the Chamber of Secrets	platforms	Macintosh
Harry Potter and the Chamber of Secrets	platforms	Microsoft Windows
Harry Potter and the Chamber of Secrets	platforms	PlayStation
Harry Potter and the Chamber of Secrets	platforms	PlayStation 2
Harry Potter and the Chamber of Secrets	platforms	Xbox
Ladbroke Grove tube station	platforms	2
Ultima: Escape from Mt. Drash	platforms	Commodore VIC-20
Seven Kings railway station	platforms	4
Bump 'n' Jump	platforms	Arcade game
Wizards & Warriors	platforms	Nintendo Entertainment System
Wizards & Warriors III: Kuros: Visions of Power	platforms	Nintendo Entertainment System
The Getaway: Black Monday	platforms	PlayStation 2
Tooting Broadway tube station	platforms	2
Colliers Wood tube station	platforms	2
In Cold Blood	platforms	PlayStation
In Cold Blood	platforms	Microsoft Windows
All New World of Lemmings	platforms	Commodore Amiga
All New World of Lemmings	platforms	DOS
Woodside Park tube station	platforms	2
Ty the Tasmanian Tiger	platforms	PlayStation 2
Ty the Tasmanian Tiger	platforms	Xbox
Ty the Tasmanian Tiger	platforms	Nintendo GameCube
Ty the Tasmanian Tiger	platforms	Microsoft Windows
Starscape	platforms	Microsoft Windows
International Karate	platforms	Amstrad CPC
International Karate	platforms	Apple II
International Karate	platforms	Atari 8-bit family
International Karate	platforms	Atari ST
International Karate	platforms	Commodore 64
International Karate	platforms	Commodore 16
International Karate	platforms	MS-DOS
International Karate	platforms	MSX
International Karate	platforms	ZX Spectrum
International Karate	platforms	Game Boy Color
International Karate	platforms	Game Boy Advance
International Karate	platforms	Virtual Console
Ork	platforms	Commodore Amiga
Ork	platforms	Atari ST
Sega Classics Arcade Collection	platforms	Sega CD
It Came from the Desert	platforms	Amiga
It Came from the Desert	platforms	MS-DOS
It Came from the Desert	platforms	Sega Genesis
It Came from the Desert	platforms	TurboGrafx-16
Softporn Adventure	platforms	Apple II
Softporn Adventure	platforms	Atari 8-bit
Softporn Adventure	platforms	DOS
Aliens: Colonial Marines	platforms	Microsoft Windows
Aliens: Colonial Marines	platforms	PlayStation 3
Aliens: Colonial Marines	platforms	Xbox 360
A Tale in the Desert	platforms	Microsoft Windows
A Tale in the Desert	platforms	Linux
A Tale in the Desert	platforms	Mac OS X
K240	platforms	Amiga
Reedham	platforms	2
Metal Marines	platforms	Super Nintendo Entertainment System
Metal Marines	platforms	Windows 3.1x
QuackShot	platforms	Sega Genesis
QuackShot	platforms	Sega Saturn
Phantom Slayer	platforms	64
Phantom Slayer	platforms	TRS-80
Twisted Metal 2	platforms	PlayStation
Twisted Metal 2	platforms	Microsoft Windows
Twisted Metal 2	platforms	PlayStation Network
Super Puzzle Fighter II Turbo	platforms	Arcade, PlayStation, Sega Saturn, GBA, PlayStation Portable , Dreamcast , Xbox 360 , PlayStation Network, Blackberry (Appworld), iOS
Enfield Chase railway station	platforms	2
Head over Heels	platforms	Amstrad CPC
Head over Heels	platforms	Amstrad PCW
Head over Heels	platforms	Atari 8-bit family
Head over Heels	platforms	Atari ST
Head over Heels	platforms	Commodore 64
Head over Heels	platforms	Amiga
Head over Heels	platforms	MSX
Head over Heels	platforms	ZX Spectrum
Ragnarok Battle Offline	platforms	Microsoft Windows
Super Fighter	platforms	MS-DOS
Super Fighter	platforms	Windows
19XX: The War Against Destiny	platforms	Arcade game
Constructor	platforms	MS-DOS
Constructor	platforms	Microsoft Windows
Constructor	platforms	Mac OS
Constructor	platforms	PlayStation
Constructor	platforms	PlayStation 3
Constructor	platforms	PlayStation 4
Constructor	platforms	PlayStation Portable
Constructor	platforms	Xbox One
Turok: Evolution	platforms	PlayStation 2
Turok: Evolution	platforms	Xbox
Turok: Evolution	platforms	Game Boy Advance
Turok: Evolution	platforms	GameCube
Turok: Evolution	platforms	Microsoft Windows
Pac-Man 2: The New Adventures	platforms	SNES, Sega Genesis, Virtual Console
Battletoads in Battlemaniacs	platforms	Super Nintendo Entertainment System
Battletoads in Battlemaniacs	platforms	Sega Master System
Ruislip Manor tube station	platforms	2
Hillingdon tube station	platforms	2
Synthesia	platforms	Cross-platform
Crisis Zone	platforms	Arcade game
Crisis Zone	platforms	PlayStation 2
Cybernator	platforms	Super Nintendo Entertainment System
Cybernator	platforms	PlayStation 2
Law & Order: Dead on the Money	platforms	Microsoft Windows
Law & Order: Dead on the Money	platforms	Mac OS X
Future Wars	platforms	PC , Amiga, Atari ST
Mercenaries: Playground of Destruction	platforms	PlayStation 2
Mercenaries: Playground of Destruction	platforms	Xbox
3D Lemmings	platforms	DOS
3D Lemmings	platforms	PlayStation
3D Lemmings	platforms	Sega Saturn
Ridge Racer 64	platforms	Nintendo 64
Ridge Racer 64	platforms	Nintendo DS
Janitor Joe	platforms	MS-DOS
3-Demon	platforms	DOS
Captain Comic	platforms	MS-DOS
Captain Comic	platforms	NES
Zoo Keeper	platforms	Game Boy Advance
Zoo Keeper	platforms	PlayStation 2
Zoo Keeper	platforms	Nintendo DS
Zoo Keeper	platforms	Nintendo 3DS
Zoo Keeper	platforms	IOS
Zoo Keeper	platforms	Android
Front Mission Series: Gun Hazard	platforms	Super Nintendo Entertainment System
Raptor: Call of the Shadows	platforms	DOS
Raptor: Call of the Shadows	platforms	Microsoft Windows
Raptor: Call of the Shadows	platforms	Linux
Raptor: Call of the Shadows	platforms	IOS
Raptor: Call of the Shadows	platforms	Mac OS
The Manhole	platforms	Mac OS
The Manhole	platforms	TurboGrafx 16
The Manhole	platforms	MS-DOS
The Manhole	platforms	FM Towns
The Manhole	platforms	Microsoft Windows
The Manhole	platforms	IOS
Eltham railway station	platforms	2
Uninvited	platforms	Apple IIGS, Macintosh; Atari ST; Commodore 64, Amiga; NES, Famicom; PC ; Windows Mobile
Abadox	platforms	Nintendo Entertainment System
Venture	platforms	Arcade game
Venture	platforms	Atari 2600
Venture	platforms	ColecoVision
Venture	platforms	Intellivision
Smurf: Rescue in Gargamel's Castle	platforms	Atari 2600
Smurf: Rescue in Gargamel's Castle	platforms	ColecoVision
Carnival	platforms	Arcade game
Carnival	platforms	Atari 2600
Carnival	platforms	ColecoVision
Carnival	platforms	Intellivision
Carnival	platforms	Atari 8-bit family
Musashi: Samurai Legend	platforms	PlayStation 2
The Uncanny X-Men	platforms	Nintendo Entertainment System
Street Fighter 2010: The Final Fight	platforms	Nintendo Entertainment System
Street Fighter 2010: The Final Fight	platforms	Virtual Console
Ogre Battle 64: Person of Lordly Caliber	platforms	Nintendo 64, Virtual Console
SimCity 64	platforms	Nintendo 64DD
Spider-Man 2	platforms	GameCube
Spider-Man 2	platforms	Microsoft Windows
Spider-Man 2	platforms	PlayStation 2
Spider-Man 2	platforms	Xbox
Spider-Man 2	platforms	Game Boy Advance
Spider-Man 2	platforms	N-Gage
Spider-Man 2	platforms	Mac OS X
Spider-Man 2	platforms	Nintendo DS
Spider-Man 2	platforms	PlayStation Portable
Star Wars	platforms	Nintendo Entertainment System
Star Wars	platforms	Game Boy
Star Wars	platforms	Master System
Star Wars	platforms	Game Gear
King of Kings: The Early Years	platforms	Nintendo Entertainment System
Star Trek: 25th Anniversary	platforms	Nintendo Entertainment System
Bible Adventures	platforms	Nintendo Entertainment System
Bible Adventures	platforms	Sega Genesis
Bible Adventures	platforms	Personal computer
Who Framed Roger Rabbit	platforms	Nintendo Entertainment System
Déjà Vu	platforms	Apple IIGS, Macintosh; Atari ST; Commodore 64, Amiga; DOS; Game Boy Color; Microsoft Windows ; NES
Urban Champion	platforms	Nintendo Entertainment System
Urban Champion	platforms	Arcade games
Urban Champion	platforms	Nintendo e-Reader
Urban Champion	platforms	Nintendo 3DS
Teddy Boy Blues	platforms	Arcade game
Teddy Boy Blues	platforms	Sega Master System
Teddy Boy Blues	platforms	Sega Mega Drive
The Simpsons: Bart vs. the World	platforms	Amiga
The Simpsons: Bart vs. the World	platforms	Atari ST
The Simpsons: Bart vs. the World	platforms	Game Gear
The Simpsons: Bart vs. the World	platforms	Nintendo Entertainment System
The Simpsons: Bart vs. the World	platforms	Sega Master System
Super Dodge Ball	platforms	Arcade game
Super Dodge Ball	platforms	X68000
Super Dodge Ball	platforms	TurboGrafx-16
Super Dodge Ball	platforms	PlayStation 2
Super Dodge Ball	platforms	PlayStation 4
Vice: Project Doom	platforms	Nintendo Entertainment System
Deadly Towers	platforms	Nintendo Entertainment System
BreakThru	platforms	Arcade game
BreakThru	platforms	Amstrad CPC
BreakThru	platforms	Nintendo Entertainment System
BreakThru	platforms	ZX Spectrum
BreakThru	platforms	Commodore 64
Castlequest	platforms	MSX
Castlequest	platforms	Nintendo Entertainment System
Jurassic Park	platforms	Nintendo Entertainment System
Wall Street Kid	platforms	Nintendo Entertainment System
MiG-29: Soviet Fighter	platforms	Amstrad CPC
MiG-29: Soviet Fighter	platforms	Commodore 64
MiG-29: Soviet Fighter	platforms	Amiga
MiG-29: Soviet Fighter	platforms	Atari ST
MiG-29: Soviet Fighter	platforms	Nintendo Entertainment System
MiG-29: Soviet Fighter	platforms	ZX Spectrum
Illusions	platforms	ColecoVision
Pro Wrestling	platforms	Nintendo Entertainment System
Pro Wrestling	platforms	Family Computer Disk System
Pro Wrestling	platforms	PlayChoice-10
Cyberball	platforms	Arcade game
Cyberball	platforms	Nintendo Entertainment System
Cyberball	platforms	Sega Mega Drive
Cyberball	platforms	Atari ST
Cyberball	platforms	Amiga
Cyberball	platforms	Commodore 64
Cyberball	platforms	Amstrad CPC
Cyberball	platforms	ZX Spectrum
Cyberball	platforms	Xbox Live Arcade
Cyberball	platforms	Atari Lynx
Cyberball	platforms	PlayStation 2
Cyberball	platforms	Xbox
Cyberball	platforms	Nintendo GameCube
The Guardian Legend	platforms	Nintendo Entertainment System
To the Earth	platforms	Nintendo Entertainment System
Soccer	platforms	Nintendo Entertainment System
Soccer	platforms	Family Computer Disk System
Dr. Jekyll and Mr. Hyde	platforms	Nintendo Entertainment System
The Hunt for Red October	platforms	Game Boy
The Hunt for Red October	platforms	Nintendo Entertainment System
The Hunt for Red October	platforms	Super Nintendo Entertainment System
Project I.G.I.: I'm Going In	platforms	Microsoft Windows
P.O.W.: Prisoners of War	platforms	Arcade game
P.O.W.: Prisoners of War	platforms	Nintendo Entertainment System
Kidbrooke railway station	platforms	2
Heavy Barrel	platforms	Arcade game
Heavy Barrel	platforms	Apple II
Heavy Barrel	platforms	Nintendo Entertainment System
Heavy Barrel	platforms	MS-DOS
Contra Force	platforms	Nintendo Entertainment System
The Legend of Kage	platforms	Arcade game
The Legend of Kage	platforms	Amstrad CPC
The Legend of Kage	platforms	Commodore 64
The Legend of Kage	platforms	Nintendo Entertainment System
The Legend of Kage	platforms	MSX
The Legend of Kage	platforms	Virtual Console
The Legend of Kage	platforms	X1
The Legend of Kage	platforms	ZX Spectrum
Barbie	platforms	Nintendo Entertainment System
Barbie	platforms	MS-DOS
Bases Loaded	platforms	Arcade game
Bases Loaded	platforms	Nintendo Entertainment System
Bases Loaded	platforms	Game Boy
Bases Loaded	platforms	Virtual Console
Dance Aerobics	platforms	Nintendo Entertainment System
Dr. Chaos	platforms	Family Computer Disk System
Dr. Chaos	platforms	Nintendo Entertainment System
The Blues Brothers	platforms	IBM PC
The Blues Brothers	platforms	Amstrad CPC
The Blues Brothers	platforms	Amiga
The Blues Brothers	platforms	Commodore 64
The Blues Brothers	platforms	Atari ST
The Blues Brothers	platforms	NES
The Blues Brothers	platforms	SNES
The Blues Brothers	platforms	Game Boy
Nunhead railway station	platforms	2
Ikari III: The Rescue	platforms	Arcade game
Ikari III: The Rescue	platforms	Nintendo Entertainment System
Ikari III: The Rescue	platforms	DOS
Ikari III: The Rescue	platforms	Commodore 64
Victory Road	platforms	Amiga
Victory Road	platforms	Arcade game
Victory Road	platforms	Commodore 64
Victory Road	platforms	Nintendo Entertainment System
Victory Road	platforms	Amstrad CPC
Victory Road	platforms	ZX Spectrum
Victory Road	platforms	IBM PC
Journey to Silius	platforms	Nintendo Entertainment System
Journey to Silius	platforms	PlayStation
Infiltrator	platforms	Amstrad CPC
Infiltrator	platforms	Apple II
Infiltrator	platforms	Atari 8-bit
Infiltrator	platforms	Commodore 64
Infiltrator	platforms	DOS
Infiltrator	platforms	NES
Infiltrator	platforms	ZX Spectrum
Pinball	platforms	Arcade, NES/Famicom, e-Reader, Nintendo GameCube , Virtual Console
Ninja Gaiden III: The Ancient Ship of Doom	platforms	Nintendo Entertainment System
